ATasteOfHoney_Sukiyaki_1981	A Taste Of Honey	Sukiyaki	4/25/81	3	24	31	30	1286	https://www.youtube.com/watch?v=xqFkUNqBwMw	TRUE
Alabama_TakeMeDown_1982	Alabama	Take Me Down	7/17/82	18	13	19	18	1082	https://www.youtube.com/watch?v=hhrUCq8LnQw	TRUE
ArethaFranklin_OhMeOhMy_1972	Aretha Franklin	Oh Me Oh My (I'm A Fool For You Baby)	1/22/72	73	4	75	75	1042	https://www.youtube.com/watch?v=cMDgu8Vo1Zs	TRUE
BarbraStreisand_FunnyGirl_1964	Barbra Streisand	Funny Girl	10/10/64	44	9	47	45	1118	https://www.youtube.com/watch?v=4XC3mSrS3xc	TRUE
BillyIdol_RebelYell_1984	Billy Idol	Rebel Yell	4/7/84	46	14	61	61	1167	https://www.youtube.com/watch?v=VdphvuyaV_I	TRUE
BillyIdol_WhiteWedding_1983	Billy Idol	White Wedding	"1983/07/23, 1983/07/02"	"36, 36"	"13, 13"	"54, 34"	"55, 36"	"701, 1296"	https://www.youtube.com/watch?v=3jgtWzy-dPE	TRUE
BillySquier_MyKindaLover_1982	Billy Squier	My Kinda Lover	1/9/82	45	10	46	46	1051	https://www.youtube.com/watch?v=TITUqFWdQLs	TRUE
Blondie_IslandOfLostSouls_1982	Blondie	Island Of Lost Souls	7/31/82	37	10	96	95	1203	https://www.youtube.com/watch?v=L91_QKVdymA	TRUE
BlueCheer_SummertimeBlues_1968	Blue Cheer	Summertime Blues	5/25/68	14	13	32	33	1170	https://www.youtube.com/watch?v=as1NcX31szs	TRUE
BobSeger_AgainstTheWind_1980	Bob Seger	Against The Wind	7/5/80	5	17	6	6	1177	https://www.youtube.com/watch?v=r5ZegCEmkN4	TRUE
BobSeger_EvenNow_1983	Bob Seger	Even Now	3/19/83	12	12	52	50	1208	https://www.youtube.com/watch?v=6H7Xtei62Ug	TRUE
BobSeger_NightMoves_1977	Bob Seger	Night Moves	3/19/77	4	21	4	4	1171	https://www.youtube.com/watch?v=_mRFWQoXq4c	TRUE
BobbieGentry_OdeToBillieJoe_1976	Bobbie Gentry	Ode To Billie Joe	7/24/76	1	20	75	77	1168	https://www.youtube.com/watch?v=cJZ_ViDADOE	TRUE
BonniePointer_HeavenMustHaveSentYou_1979	Bonnie Pointer	Heaven Must Have Sent You	11/3/79	11	23	29	28	1232	https://www.youtube.com/watch?v=mTqiKeyXQlM	TRUE
Boston_Amanda_1986	Boston	Amanda	12/13/86	1	18	24	24	1234	https://www.youtube.com/watch?v=oisTdGBNcqo	TRUE
BrendaLee_AllAloneAmI_1962	Brenda Lee	All Alone Am I	10/20/62	3	15	15	15	1253	https://www.youtube.com/watch?v=0rEMr7k6Y2g	TRUE
BuckOwens_ThinkOfMe_1966	Buck Owens	Think Of Me	5/28/66	74	5	99	99	1154	https://www.youtube.com/watch?v=7R8_jqNNHnA	TRUE
CharlieRich_BehindClosedDoors_1973	Charlie Rich	Behind Closed Doors	6/30/73	15	19	20	20	1218	https://www.youtube.com/watch?v=TlcO29s_3Bo	TRUE
CharlieRich_LonelyWeekends_1960	Charlie Rich	Lonely Weekends	"1960/07/11, 1960/06/27"	"22, 22"	"21, 21"	"66, 34"	"65, 34"	"1113, 1123"	https://www.youtube.com/watch?v=L9M76pr0veY	TRUE
CheapTrick_Surrender_1978	Cheap Trick	Surrender	"1978/08/12, 1978/09/09"	"62, 62"	"8, 8"	"70, 90"	"69, 92"	"555, 1022"	https://www.youtube.com/watch?v=2fIt9Alo39Q	TRUE
Chicago_25Or6To4_1970	Chicago	25 Or 6 To 4	"1970/08/08, 1970/08/29, 1970/09/05"	"4, 4, 4"	"20, 20, 20"	"26, 10,  5"	"27, 10,  6"	"176, 292, 1227"	https://www.youtube.com/watch?v=7uAUoz7jimg	TRUE
Chicago_AliveAgain_1978	Chicago	Alive Again	11/18/78	14	13	17	17	1240	https://www.youtube.com/watch?v=gtt5JPstK0w	TRUE
CliffRichard_Carrie_1980	Cliff Richard	Carrie	"1980/03/08, 1980/03/15"	"34, 34"	"11, 11"	"66, 58"	"66, 59"	"51, 1222"	https://www.youtube.com/watch?v=qWQ_vJYt7DA	TRUE
CliffRichard_DaddysHome_1982	Cliff Richard	Daddy's Home	3/27/82	23	13	34	34	1161	https://www.youtube.com/watch?v=IJJuYpx0w2Q	TRUE
CliffRichard_WeDontTalkAnymore_1979	Cliff Richard	We Don't Talk Anymore	11/10/79	7	20	48	47	1273	https://www.youtube.com/watch?v=m8FCZ5x8Gpg	TRUE
Commodores_Easy_1977	Commodores	Easy	"1977/09/17, 1977/10/22"	"4, 4"	"22, 22"	"17, 95"	"17, 95"	"341, 1157"	https://www.youtube.com/watch?v=7XcTyEKSnYg	TRUE
Commodores_ThreeTimesALady_1978	Commodores	Three Times A Lady	9/2/78	1	20	1	2	1201	https://www.youtube.com/watch?v=7_ejOhpzEhk	TRUE
CorneliusBrothersAndSisterRose_TreatHerLikeALady_1971	Cornelius Brothers & Sister Rose	Treat Her Like A Lady	"1971/05/08, 1971/06/12"	"3, 3"	"18, 18"	"44,  8"	"45,  8"	"932, 1280"	https://www.youtube.com/watch?v=IEYrNg3MpZg	TRUE
CultureClub_IllTumble4Ya_1983	Culture Club	I'll Tumble 4 Ya	7/23/83	9	16	28	29	1223	https://www.youtube.com/watch?v=kwb9-OlQimc	TRUE
