FileName	ARTIST	TITLE	Prexisting data? 	Transcriber	Transcription Date 	Comments	ChangesToMcGillTranscription
TheRollingStones_WildHorses_1971	The Rolling Stones 	Wild Horses 	midi	Nat	2016-07-26		In last two choruses there is a typo where they make dmin and gmin chords whole notes instead of half notes 
TheTurtles_HappyTogether_1967	The Turtles 	Happy Together 	midi	Nat	2016-08-03	Swung	"rethink section labels: ""Bridge"" is really last verse? "
TheWeatherGirls_ItsRainingMen_1983	The Weather Girls 	It's Raining Men 		Hubert	2016-01-30		
TheWho_PinballWizard_1969	The Who 	Pinball Wizard 	midi	Nat	2016-02-12		
TinaTurner_WhatsLoveGotToDoWithIt_1984	Tina Turner 	What's Love Got To Do With It 	midi	Nat	2016-02-16	McGill has extra measure at 37. Also chorus chords call clear vi chord. Also theres a key change
TomJones_ShesALady_1971	Tom Jones 	She's A Lady 	midi	Nat	2017-02-02	Is progression Em äóñ Em -D or Em äóñ A- D? Does it really change from verse to verse?; version I found is a little longer that McGill's äó_ which is correct? 	"Move key change back to D two measures earlier, to measure 45 "
U2_WithOrWithoutYou_1987	U2	With Or Without You 	midi	Nat	2016-02-15		
VanHalen_WhenItsLove_1988	Van Halen 	When It's Love 	midi	Nat	2016-08-22	There's a repeated pattern (end of first chorus is first time) where I'm notating a quarter note on the beat which is really late...maybe it should be written as syncopation? 	
VillagePeople_InTheNavy_1979	Village People 	In The Navy 	midi	Hubert	2016-01-22	"2 melody parts: Part 1 = main melody; Part 2 = ""In the Navy"". I did not transcribe the spoken parts. "	
Wham_WakeMeUpBeforeYouGoGo_1984	Wham!	Wake Me Up Before You Go-Go 	midi	Nat	2017-01-21	"Pickup chords inconsistent in intro; renumber barlines so that pickup is measure 0; prechorus is labelled ""bridge""; First chorus has extra measure (=42 in unedited hum);'interlude' isn't really an interlude "	
Whitesnake_HereIGoAgain_1987	Whitesnake	Here I Go Again 	midi	Nat	2017-01-19	Need to add rhythmic detail to chords?; Not sure äóìpreverseäó section label is necessarry 	
AaronNeville_TellItLikeItIs_1966	Aaron Neville 	Tell It Like It Is 	midi				
ABBA_Fernando_1976	ABBA	Fernando	midi				
ABBA_KnowingMeKnowingYou_1977	ABBA	"Knowing Me, Knowing You "	midi				
ABBA_OnAndOnAndOn_1981	ABBA	On And On And On 					
ABBA_TakeAChanceOnMe_1978	ABBA	Take A Chance On Me 	midi				
Aerosmith_LastChild_1976	Aerosmith	Last Child 					
Alabama_TakeMeDown_1982	Alabama	Take Me Down 					
AlanODay_UndercoverAngel_1977	Alan O'Day 	Undercover Angel 	midi				
AlGreen_OhMeOhMy_1975	Al Green 	"Oh Me, Oh My (Dreams In My Arms) "					
AliceCooper_HeyStoopid_1991	Alice Cooper 	Hey Stoopid 					
AndyGibb_ShadowDancing_1978	Andy Gibb 	Shadow Dancing 					
AnitaBaker_CaughtUpInTheRapture_1987	Anita Baker 	Caught Up In The Rapture 					
AnitaBaker_GivingYouTheBestThatIGot_1989	Anita Baker 	Giving You The Best That I Got 					
AnneMurray_DaydreamBeliever_1980	Anne Murray 	Daydream Believer 					
AnneMurray_LoveSong_1974	Anne Murray 	Love Song 	midi	Hubert	2017-05-18	The McGill file is ok up to m. 66. But then it seems to be missing a whole section, as it goes directly into the outro. Maybe it was transcribed from a radio edit version? My transcriptions matches the McGill file. (I've started to update the melodic transcription to the correct length. Still need to do the harmonic transcription, and make corrections to the melodic transcription. -Nat)
AnnPeebles_ICantStandTheRain_1973	Ann Peebles 	I Can't Stand The Rain 					
ArethaFranklin_ChainOfFools_1967	Aretha Franklin 	Chain Of Fools 	midi				
ArethaFranklin_INeverLovedAMan_1967	Aretha Franklin 	I Never Loved A Man (The Way I Love You) 					
ArethaFranklin_OhMeOhMy_1972	Aretha Franklin 	Oh Me Oh My (I'm A Fool For You Baby) 	midi				
ArthurConley_SweetSoulMusic_1967	Arthur Conley 	Sweet Soul Music 					
ATasteOfHoney_Sukiyaki_1981	A Taste Of Honey 	Sukiyaki					
BachmanTurnerOverdrive_Heartaches_1979	Bachman-Turner Overdrive 	Heartaches					
BadCompany_RockNRollFantasy_1979	Bad Company 	Rock 'N' Roll Fantasy 	midi				
Badfinger_MaybeTomorrow_1969	Badfinger	Maybe Tomorrow 					
Baltimora_TarzanBoy_1986	Baltimora	Tarzan Boy (from the film Teenage Mutant Ninja Turtles III) 					
Bananarama_ATrickOfTheNight_1987	Bananarama	A Trick Of The Night 					
BarbaraLewis_HelloStranger_1963	Barbara Lewis 	Hello Stranger 	midi				
BarbraStreisand_FunnyGirl_1964	Barbra Streisand 	Funny Girl 					
BarbraStreisand_People_1964	Barbra Streisand 	People					
BarryWhite_YoureTheFirstTheLastMyEverything_1974	Barry White 	"You're The First, The Last, My Everything "					
BayCityRollers_SaturdayNight_1975	Bay City Rollers 	Saturday Night 					
BBKing_HowBlueCanYouGet_1964	B.B. King 	How Blue Can You Get 	midi				
BBKing_TheThrillIsGone_1970	B.B. King 	The Thrill Is Gone 	midi				
BeastieBoys_BrassMonkey_1987	Beastie Boys 	Brass Monkey 					
BenEKing_Amor_1961	Ben E. King 	Amor					
BerthaTillman_OhMyAngel_1962	Bertha Tillman 	Oh My Angel 					
BetteMidler_TheRose_1980	Bette Midler 	The Rose 	midi				
BillWithers_AintNoSunshine_1971	Bill Withers 	Ain't No Sunshine 	midi				
BillWithers_LovelyDay_1978	Bill Withers 	Lovely Day 	midi				
BillyIdol_CatchMyFall_1985	Billy Idol 	Catch My Fall 	midi				
BillyIdol_FleshForFantasy_1984	Billy Idol 	Flesh For Fantasy 	midi				
BillyIdol_HotInTheCity_1982	Billy Idol 	Hot In The City 	midi				
BillyJoel_AnInnocentMan_1984	Billy Joel 	An Innocent Man 	midi				
BillyJoel_DontAskMeWhy_1980	Billy Joel 	Don't Ask Me Why 	midi				
BillyJoel_JustTheWayYouAre_1978	Billy Joel 	Just The Way You Are 	midi				
BillyJoel_Pressure_1983	Billy Joel 	Pressure	midi				
BillyPreston_WithYouImBornAgain_1979	Billy Preston 	With You I'm Born Again 					
BillySquier_DontSayYouLoveMe_1989	Billy Squier 	Don't Say You Love Me 					
BillySquier_MyKindaLover_1982	Billy Squier 	My Kinda Lover 					
BillySquier_TheStroke_1981	Billy Squier 	The Stroke 		Nat	2017-02-23		Original transcription is written in augmentation (for some reason) and has excess measures at the beginning. Other elements of the chord progressions are also wrong. 
BillySwan_ICanHelp_1974	Billy Swan 	I Can Help 					
BingCrosby_WhiteChristmas_1962	Bing Crosby 	White Christmas 	midi				
BizMarkie_JustAFriend_1990	Biz Markie 	Just A Friend 					
BJThomas_HookedOnAFeeling_1968	B.J. Thomas 	Hooked On A Feeling 	midi				
Blondie_IslandOfLostSouls_1982	Blondie	Island Of Lost Souls 					
BlueCheer_SummertimeBlues_1968	Blue Cheer 	Summertime Blues 	midi				
BobbieGentry_OdeToBillieJoe_1976	Bobbie Gentry 	Ode To Billie Joe 	midi				
BobbiMartin_ILoveYouSo_1965	Bobbi Martin 	I Love You So 					
BobbyBare_DetroitCity_1963	Bobby Bare 	Detroit City 	midi				
BobbyDarin_IfIWereACarpenter_1966	Bobby Darin 	If I Were A Carpenter 	midi				
BobbyWomack_SweetCaroline_1972	Bobby Womack 	Sweet Caroline (Good Times Never Seemed So Good) 					
BobbyWomack_ThatsTheWayIFeelAboutCha_1971	Bobby Womack 	That's The Way I Feel About Cha 					
BobDylan_GottaServeSomebody_1979	Bob Dylan 	Gotta Serve Somebody 					
BobSeger_AgainstTheWind_1980	Bob Seger 	Against The Wind 	midi				
BobSeger_AmericanStorm_1986	Bob Seger 	American Storm 					
BobSeger_EvenNow_1983	Bob Seger 	Even Now 					
BobSeger_NightMoves_1977	Bob Seger 	Night Moves 	midi				
BobSeger_OldTimeRockAndRoll_1979	Bob Seger 	Old Time Rock & Roll 	midi				
BobSeger_RockAndRollNeverForgets_1977	Bob Seger 	Rock And Roll Never Forgets 	midi				
BobSeger_TryinToLiveMyLifeWithoutYou_1981	Bob Seger 	Tryin' To Live My Life Without You 					
BoDiddley_YouCantJudgeABookByTheCover_1962	Bo Diddley 	You Can't Judge A Book By The Cover 					
BonniePointer_HeavenMustHaveSentYou_1979	Bonnie Pointer 	Heaven Must Have Sent You 					
BonnieRaitt_NickOfTime_1990	Bonnie Raitt 	Nick Of Time 	midi				
Boston_Amanda_1986	Boston	Amanda	midi				
Boston_FeelinSatisfied_1979	Boston	Feelin' Satisfied 					
BoyzIIMen_Motownphilly_1991	Boyz II Men 	Motownphilly					
Bread_If_1971	Bread	If	midi				
Bread_SweetSurrender_1972	Bread	Sweet Surrender 	midi				
BrendaLee_AllAloneAmI_1962	Brenda Lee 	All Alone Am I 	midi				
BrendaLee_AsUsual_1964	Brenda Lee 	As Usual 					
BrendaLee_ComingOnStrong_1966	Brenda Lee 	Coming On Strong 					
BrendaLee_DumDum_1961	Brenda Lee 	Dum Dum 	midi				
BrendaLee_EverybodyLovesMeButYou_1962	Brenda Lee 	Everybody Loves Me But You 					
BrendaLee_HeartInHand_1962	Brenda Lee 	Heart In Hand 					
BrendaLee_LosingYou_1963	Brenda Lee 	Losing You 					
BrendaLee_TooManyRivers_1965	Brenda Lee 	Too Many Rivers 	midi				
BrotherJackMcDuff_ThemeFromElectricSurfboard_1969	Brother Jack McDuff 	Theme From Electric Surfboard 					
BrownsvilleStation_SmokinInTheBoysRoom_1973	Brownsville Station 	Smokin' In The Boy's Room 	midi				
BruceChannel_HeyBaby_1962	Bruce Channel 	Hey! Baby 		Dana	2016/01/??		
BuckOwens_IveGotATigerByTheTail_1965	Buck Owens 	I've Got A Tiger By The Tail 	midi				
BuckOwens_ThinkOfMe_1966	Buck Owens 	Think Of Me 					
CandiStaton_YoungHeartsRunFree_1976	Candi Staton 	Young Hearts Run Free 					
CannedHeat_LetsWorkTogether_1970	Canned Heat 	Let's Work Together 					
CannedHeat_OnTheRoadAgain_1968	Canned Heat 	On The Road Again 					
CarlCarlton_EverlastingLove_1974	Carl Carlton 	Everlasting Love 					
CharlieRich_AVerySpecialLoveSong_1974	Charlie Rich 	A Very Special Love Song 	midi				
CharlieRich_BehindClosedDoors_1973	Charlie Rich 	Behind Closed Doors 	midi				
CharlieRich_LonelyWeekends_1960	Charlie Rich 	Lonely Weekends 					
CheapTrick_IWantYouToWantMe_1979	Cheap Trick 	I Want You To Want Me 					
CheapTrick_StopThisGame_1980	Cheap Trick 	Stop This Game 					
CheapTrick_Surrender_1978	Cheap Trick 	Surrender	midi				
Cher_IfICouldTurnBackTime_1989	Cher	If I Could Turn Back Time 	midi				
Cher_JustLikeJesseJames_1989	Cher	Just Like Jesse James 					
Chicago_AliveAgain_1978	Chicago	Alive Again 					
Chicago_AlongComesAWoman_1985	Chicago	Along Comes A Woman 	midi				
Chicago_AnotherRainyDayInNewYorkCity_1976	Chicago	Another Rainy Day In New York City 					
Chicago_DoesAnybodyReallyKnowWhatTimeItIs_1970	Chicago	Does Anybody Really Know What Time It Is? 	midi				
Chicago_FeelinStrongerEveryDay_1973	Chicago	Feelin' Stronger Every Day 	midi				
Chicago_MakeMeSmile_1970	Chicago	Make Me Smile 	midi				
Chicago_OldDays_1975	Chicago	Old Days 	midi				
ChicoDeBarge_TalkToMe_1987	Chico DeBarge 	Talk To Me 					
ChrisKenner_LandOf1000Dances_1963	Chris Kenner 	Land Of 1000 Dances 	midi				
ChuckBerry_AlmostGrown_1959	Chuck Berry 	Almost Grown 	midi				
ChuckBerry_SweetLittleRockAndRoll_1958	Chuck Berry 	Sweet Little Rock And Roll 					
ClarenceCarter_Patches_1970	Clarence Carter 	Patches					
ClarenceCarter_TooWeakToFight_1968	Clarence Carter 	Too Weak To Fight 					
CliffRichard_Carrie_1980	Cliff Richard 	Carrie					
CliffRichard_DaddysHome_1982	Cliff Richard 	Daddy's Home 					
CliffRichard_DevilWoman_1976	Cliff Richard 	Devil Woman 	midi				
CliffRichard_LivingDoll_1959	Cliff Richard 	Living Doll 	midi				
CliffRichard_WeDontTalkAnymore_1979	Cliff Richard 	We Don't Talk Anymore 	midi				
ColorMeBadd_IAdoreMiAmor_1991	Color Me Badd 	I Adore Mi Amor 					
Commodores_Easy_1977	Commodores	Easy	midi				
Commodores_Lady_1981	Commodores	Lady (You Bring Me Up) 					
Commodores_Nightshift_1985	Commodores	Nightshift					
Commodores_Still_1980	Commodores	Still	midi				
Commodores_ThreeTimesALady_1978	Commodores	Three Times A Lady 	midi				
CoreyHart_InYourSoul_1988	Corey Hart 	In Your Soul 					
CorneliusBrothersAndSisterRose_TreatHerLikeALady_1971	Cornelius Brothers & Sister Rose 	Treat Her Like A Lady 					
CountBasie_GoingToChicagoBlues_1958	Count Basie 	Going To Chicago Blues 					
